TEAM,YEAR,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Final,OverallRank
HAN,2002,,2010-02-09,11-0-13,4-0-15,2010-01-07,10-0-8,2011-02-12,3-0-5,59-5-69,7
HAN,2003,,2009-01-12,2012-02-11,9-0-11,7-0-8,2012-01-13,2014-01-09,0-0-1,63-5-65,5
HAN,2004,,2011-01-12,2010-02-12,2011-02-10,9-0-11,2006-01-16,5-0-11,1-0-2,53-6-74,7
HAN,2005,,10-0-13,2011-01-12,15-0-9,11-0-8,11-0-6,6-0-13,,64-1-61,4
HAN,2006,,10-0-9,2015-01-07,10-0-12,2005-01-05,14-0-12,11-0-12,2-0-0,67-2-57,2
HAN,2007,,2008-01-10,16-0-8,2010-01-12,9-0-10,11-0-9,10-0-5,3-0-3,67-2-57,3
HAN,2008,0-0-2,15-0-11,12-0-13,13-0-10,16-0-10,1-0-5,6-0-11,1-0-0,64-0-62,5
HAN,2009,,2010-01-09,2007-02-17,7-0-18,6-0-15,8-0-15,8-0-10,,46-3-84,8
HAN,2010,1-0-2,8-0-16,11-0-12,8-0-18,10-0-10,2006-01-16,2005-01-08,,49-2-82,8
HAN,2011,,2006-01-16,13-0-13,12-0-10,6-0-10,2008-01-11,12-0-9,2-0-3,59-2-72,6
HAN,2012,,5-0-12,11-0-16,2009-01-14,2008-01-09,8-0-13,11-0-11,2001-01-02,53-3-77,8
